student_id,full_name,email,phone,age,grade,city,school,enrolled_course,join_date,last_active,xp_points,lessons_completed,streak_days,quizzes_attempted,quiz_avg_score,badge,island_level,subscription_plan,referral_code,score_html_css,score_javascript,score_react,score_nodejs,score_express,score_mongodb,weakest_topic,strongest_topic,w01_active_days,w02_active_days,w03_active_days,w04_active_days,w05_active_days,w06_active_days,w07_active_days,w08_active_days,w09_active_days,w10_active_days,w11_active_days,w12_active_days,w13_active_days,w14_active_days,w15_active_days,w16_active_days,w17_active_days,w18_active_days,xp_w01,xp_w02,xp_w03,xp_w04,xp_w05,xp_w06,xp_w07,xp_w08,xp_w09,xp_w10,xp_w11,xp_w12,xp_w13,xp_w14,xp_w15,xp_w16,xp_w17,xp_w18,avg_daily_study_minutes,peak_study_hour,total_study_hours,longest_streak_ever,avg_quiz_attempts_per_lesson,days_enrolled,badge_rank,topic_avg,final_performance,risk_level,total_active_days,recent_active_days,activity_consistency,xp_growth,recent_xp_growth,engagement_score,learning_velocity,consistency_score,predicted_next_xp,ai_recommended_focus,ai_improvement_tip
LK0001,Advait Tiwari,advait.tiwari61@gmail.com,9789727405,12,6th,Kolkata,Delhi Public School,MERN Stack Basics - Batch 8,2025-02-20,2025-06-07,1588,25,14,5,66.0,Coder,9,Basic,LKAD8468,64.5,67.6,71.4,79.8,50.0,79.2,Express,Nodejs,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,38.0,96.0,156.0,220.0,290.0,361.0,434.0,506.0,582.0,663.0,743.0,840.0,948.0,1063.0,1191.0,1320.0,1451.0,1588.0,5.0,22.0,1.4,14.0,0.2,107,2,68.75,67.1,Medium Risk,17.0,12.0,0.944,1550.0,525.0,14.68,93.41,2.59,2117.33,Express,Great work! Keep maintaining your current study habits.
LK0002,Krishna Bajaj,krishna.bajaj15@gmail.com,9627780260,14,8th,Bhopal,Amity International School,MERN Stack Basics - Batch 8,2024-11-24,2025-05-30,232,23,5,27,80.4,Beginner,4,Pro,LKKR4269,72.3,99.0,69.8,93.8,89.0,64.4,Mongodb,Javascript,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,11.0,19.0,27.0,36.0,45.0,55.0,65.0,76.0,88.0,102.0,118.0,134.0,150.0,168.0,189.0,211.0,232.0,5.0,9.0,1.2,6.0,1.17,187,0,81.38,80.79,Low Risk,14.0,6.0,0.778,227.0,82.0,16.35,16.57,27.16,317.33,MongoDB,Try to study at least 15 min every day to build a streak. | Increase weekly activity — aim for 5 active days per week.
LK0003,Avni Malhotra,avni.malhotra29@gmail.com,9448750068,14,8th,Chandigarh,Delhi Public School,MERN Stack Basics - Batch 8,2025-05-05,2025-03-22,706,60,37,23,84.7,Innovator,3,Free,LKAV1914,79.1,99.0,88.5,82.2,99.0,49.9,Mongodb,Javascript,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,4.0,5.0,7.0,6.0,4.0,17.0,36.0,58.0,80.0,104.0,129.0,156.0,184.0,212.0,241.0,275.0,316.0,376.0,436.0,498.0,565.0,633.0,706.0,180.0,20.0,117.0,49.0,0.38,1,4,82.95,84.0,Low Risk,39.0,22.0,2.167,689.0,270.0,50.31,18.1,47.69,983.33,MongoDB,Great work! Keep maintaining your current study habits.
LK0004,Vikram Choudhary,vikram.choudhary22@gmail.com,9524605553,13,6th,Ahmedabad,Bal Bharati Public School,MERN Stack Basics - Batch 7,2024-06-14,2025-04-30,695,67,104,21,84.0,Explorer,6,Free,LKVI3701,82.9,99.0,92.6,99.0,66.5,70.0,Express,Javascript,5.0,0.0,0.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,7.0,4.0,4.0,6.0,5.0,3.0,12.0,34.0,58.0,87.0,120.0,156.0,193.0,230.0,267.0,307.0,348.0,390.0,437.0,485.0,534.0,583.0,638.0,695.0,5.0,9.0,7.0,120.0,0.31,320,1,85.0,84.4,Low Risk,84.0,18.0,4.667,683.0,210.0,40.73,8.27,79.8,909.67,Express,Great work! Keep maintaining your current study habits.
LK0005,Arnav Bhatia,arnav.bhatia42@gmail.com,9697310884,13,7th,Indore,Springdales School,MERN Stack Basics - Batch 6,2024-06-26,2025-02-03,4116,29,17,32,65.3,Coder,3,Free,LKAR2948,44.7,54.9,57.5,75.6,98.2,66.3,Html Css,Express,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,7.0,87.0,188.0,327.0,476.0,637.0,825.0,1020.0,1219.0,1422.0,1640.0,1877.0,2126.0,2406.0,2723.0,3056.0,3404.0,3756.0,4116.0,5.5,8.0,1.8,21.0,1.1,222,2,66.2,65.66,Medium Risk,20.0,16.0,1.111,4029.0,1393.0,41.75,205.8,15.29,5529.33,HTML & CSS,Great work! Keep maintaining your current study habits.
LK0006,Riya Kumar,riya.kumar27@gmail.com,9243420960,14,6th,Hyderabad,Modern School,MERN Stack Basics - Batch 8,2025-05-24,2025-01-16,1993,37,9,15,54.4,Coder,2,Pro,LKRI5751,37.5,59.2,43.5,54.8,32.6,45.9,Express,Javascript,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,6.0,51.0,112.0,175.0,239.0,307.0,378.0,463.0,559.0,671.0,787.0,911.0,1040.0,1173.0,1312.0,1467.0,1628.0,1800.0,1993.0,180.0,22.0,60.0,12.0,0.41,1,2,45.58,50.87,High Risk,20.0,11.0,1.111,1942.0,681.0,34.97,99.65,33.1,2694.33,Express,Revise quiz topics daily. | Focus on Express to boost topic scores.
LK0007,Ruchika Rastogi,ruchika.rastogi23@gmail.com,9614978408,13,7th,Kolkata,Ryan International School,MERN Stack Basics - Batch 7,2025-04-25,2025-06-01,3945,26,8,30,59.2,Coder,4,Free,LKRU4227,25.0,50.3,66.9,52.5,44.4,78.1,Html Css,Mongodb,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,79.0,177.0,277.0,423.0,590.0,766.0,953.0,1150.0,1350.0,1576.0,1836.0,2101.0,2372.0,2647.0,2927.0,3252.0,3584.0,3945.0,17.8,17.0,4.7,10.0,1.15,37,2,52.87,56.67,Medium Risk,16.0,10.0,0.889,3866.0,1298.0,38.12,246.56,22.94,5302.33,HTML & CSS,Revise quiz topics daily. | Focus on HTML & CSS to boost topic scores.
LK0008,Tanvi Kumar,tanvi.kumar34@gmail.com,9768161508,13,7th,Bangalore,Kendriya Vidyalaya,MERN Stack Basics - Batch 8,2024-01-27,2025-01-02,2781,23,72,25,72.4,Coder,3,Pro,LKTA7517,71.4,58.2,57.0,93.5,70.3,99.0,React,Mongodb,1.0,1.0,4.0,4.0,1.0,0.0,2.0,7.0,5.0,5.0,6.0,7.0,5.0,4.0,5.0,6.0,5.0,5.0,64.0,131.0,212.0,307.0,410.0,521.0,648.0,778.0,929.0,1084.0,1249.0,1425.0,1617.0,1828.0,2056.0,2296.0,2537.0,2781.0,5.0,9.0,6.1,80.0,1.09,341,2,74.9,73.4,Medium Risk,73.0,21.0,4.056,2717.0,953.0,47.93,38.1,74.18,3747.67,React,Great work! Keep maintaining your current study habits.
LK0009,Govind Iyer,govind.iyer56@gmail.com,9277578208,14,7th,Lucknow,Ryan International School,MERN Stack Basics - Batch 8,2024-07-20,2025-06-15,3115,66,109,17,66.7,Beginner,6,Basic,LKGO5343,37.5,72.0,45.6,58.7,43.3,73.6,Html Css,Mongodb,1.0,1.0,6.0,6.0,7.0,5.0,6.0,6.0,5.0,4.0,6.0,5.0,4.0,6.0,5.0,4.0,7.0,7.0,69.0,147.0,234.0,332.0,435.0,556.0,678.0,805.0,950.0,1099.0,1303.0,1532.0,1770.0,2026.0,2292.0,2561.0,2833.0,3115.0,5.0,7.0,7.6,127.0,0.26,330,0,55.12,62.07,Medium Risk,91.0,23.0,5.056,3046.0,1089.0,50.98,34.23,83.04,4212.33,HTML & CSS,Focus on HTML & CSS to boost topic scores.
LK0010,Harshit Mishra,harshit.mishra68@gmail.com,9449191192,14,8th,Delhi,The Shri Ram School,MERN Stack Basics - Batch 8,2024-02-09,2025-03-08,2432,80,65,22,41.5,Explorer,6,Basic,LKHA3098,22.0,5.7,39.0,45.4,57.2,7.5,Javascript,Express,1.0,3.0,2.0,1.0,0.0,1.0,3.0,2.0,6.0,4.0,6.0,6.0,5.0,4.0,7.0,6.0,6.0,5.0,47.0,109.0,184.0,276.0,378.0,498.0,618.0,743.0,880.0,1024.0,1169.0,1323.0,1488.0,1662.0,1848.0,2036.0,2224.0,2432.0,13.5,19.0,15.3,67.0,0.28,393,1,29.47,36.69,High Risk,68.0,24.0,3.778,2385.0,770.0,45.04,35.76,71.56,3210.67,JavaScript,Revise quiz topics daily. | Focus on JavaScript to boost topic scores.
LK0011,Vedant Pandey,vedant.pandey86@gmail.com,9680594748,14,8th,Kolkata,Delhi Public School,MERN Stack Basics - Batch 8,2024-08-23,2025-03-19,4004,33,111,20,47.3,Beginner,8,Basic,LKVE7001,53.1,41.3,54.8,57.1,36.7,60.0,Express,Mongodb,2.0,0.0,4.0,7.0,6.0,7.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,7.0,5.0,4.0,4.0,7.0,89.0,183.0,294.0,406.0,524.0,651.0,784.0,943.0,1123.0,1354.0,1601.0,1857.0,2180.0,2513.0,2847.0,3217.0,3609.0,4004.0,18.2,11.0,27.6,128.0,0.61,208,0,50.5,48.58,High Risk,91.0,20.0,5.056,3915.0,1491.0,61.92,44.0,82.41,5546.67,Express,Revise quiz topics daily. | Focus on Express to boost topic scores.
LK0012,Lakshay Mehta,lakshay.mehta46@gmail.com,9618683402,12,8th,Bhopal,Springdales School,MERN Stack Basics - Batch 6,2024-08-25,2025-03-26,3962,50,24,43,74.3,Builder,8,Basic,LKLA3630,73.5,76.6,82.2,51.4,73.4,61.8,Nodejs,React,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,6.0,7.0,3.0,94.0,188.0,285.0,387.0,525.0,708.0,893.0,1091.0,1299.0,1509.0,1725.0,1958.0,2226.0,2532.0,2864.0,3211.0,3581.0,3962.0,12.4,11.0,5.8,27.0,0.86,213,3,69.82,72.51,Medium Risk,28.0,23.0,1.556,3868.0,1430.0,49.43,141.5,22.57,5426.0,Node.js,Great work! Keep maintaining your current study habits.
LK0013,Navya Gupta,navya.gupta75@gmail.com,9282830609,12,8th,Indore,DAV Public School,MERN Stack Basics - Batch 7,2024-02-01,2025-04-03,4069,8,70,45,78.2,Coder,4,Basic,LKNA6196,67.9,82.6,96.9,70.5,99.0,62.8,Mongodb,Express,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,4.0,6.0,6.0,4.0,5.0,7.0,7.0,5.0,4.0,5.0,88.0,184.0,365.0,561.0,758.0,960.0,1165.0,1393.0,1631.0,1875.0,2124.0,2377.0,2637.0,2906.0,3190.0,3479.0,3772.0,4069.0,5.0,19.0,5.9,87.0,5.62,427,2,79.95,78.9,Low Risk,71.0,21.0,3.944,3981.0,1163.0,63.76,57.31,76.68,5241.0,MongoDB,Great work! Keep maintaining your current study habits.
LK0014,Aarav Kapoor,aarav.kapoor99@gmail.com,9857428897,11,7th,Bangalore,The Shri Ram School,MERN Stack Basics - Batch 8,2024-01-22,2025-01-25,3964,61,92,29,61.4,Explorer,1,Basic,LKAA8820,60.7,55.4,83.7,66.7,46.5,81.8,Express,React,0.0,2.0,5.0,4.0,4.0,7.0,4.0,5.0,5.0,6.0,5.0,7.0,4.0,7.0,6.0,4.0,7.0,6.0,119.0,239.0,362.0,492.0,632.0,800.0,995.0,1192.0,1389.0,1599.0,1826.0,2068.0,2360.0,2659.0,2974.0,3295.0,3627.0,3964.0,5.0,20.0,7.3,96.0,0.48,369,1,65.8,63.16,Medium Risk,88.0,23.0,4.889,3845.0,1305.0,61.15,45.05,81.68,5284.0,Express,Great work! Keep maintaining your current study habits.
LK0015,Atharv Verma,atharv.verma18@gmail.com,9547495121,14,8th,Hyderabad,Modern School,MERN Stack Basics - Batch 7,2025-05-19,2025-01-08,1411,28,113,44,46.2,Coder,3,Basic,LKAT1945,71.4,42.9,27.3,49.0,25.4,56.6,Express,Html Css,0.0,4.0,5.0,4.0,4.0,7.0,4.0,7.0,6.0,6.0,7.0,5.0,6.0,5.0,7.0,4.0,4.0,6.0,29.0,68.0,119.0,175.0,231.0,290.0,363.0,444.0,532.0,623.0,716.0,809.0,904.0,999.0,1097.0,1199.0,1304.0,1411.0,180.0,21.0,273.0,147.0,1.57,1,2,45.43,45.89,High Risk,91.0,21.0,5.056,1382.0,412.0,79.06,15.51,83.36,1829.67,Express,Revise quiz topics daily. | Focus on Express to boost topic scores.
LK0016,Lakshay Srivastava,lakshay.srivastava29@gmail.com,9163413348,13,7th,Indore,DAV Public School,MERN Stack Basics - Batch 8,2024-04-17,2025-05-19,4877,16,68,14,37.2,Coder,9,Basic,LKLA9819,32.1,55.0,42.3,26.4,23.2,56.5,Express,Mongodb,2.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,5.0,4.0,4.0,5.0,4.0,7.0,4.0,4.0,3.0,96.0,193.0,319.0,446.0,615.0,809.0,1063.0,1332.0,1613.0,1912.0,2216.0,2535.0,2854.0,3222.0,3595.0,3988.0,4432.0,4877.0,9.7,12.0,8.9,90.0,0.88,397,2,39.25,38.02,High Risk,55.0,18.0,3.056,4781.0,1655.0,52.5,88.67,69.89,6586.33,Express,Revise quiz topics daily. | Focus on Express to boost topic scores.
LK0017,Navya Kapoor,navya.kapoor24@gmail.com,9705462889,11,8th,Pune,DAV Public School,MERN Stack Basics - Batch 7,2024-05-04,2025-06-01,3887,32,116,42,87.8,Coder,8,Free,LKNA3813,99.0,72.3,72.9,92.3,99.0,88.9,Javascript,Html Css,5.0,7.0,4.0,6.0,5.0,4.0,6.0,7.0,7.0,7.0,5.0,7.0,7.0,4.0,7.0,5.0,5.0,3.0,94.0,192.0,292.0,395.0,516.0,639.0,775.0,932.0,1111.0,1309.0,1538.0,1812.0,2093.0,2409.0,2732.0,3084.0,3461.0,3887.0,8.3,15.0,14.0,138.0,1.31,393,2,87.4,87.64,Low Risk,101.0,20.0,5.611,3793.0,1478.0,68.94,38.49,88.44,5427.0,JavaScript,Great work! Keep maintaining your current study habits.
LK0018,Sai Reddy,sai.reddy43@gmail.com,9758467345,13,7th,Chennai,The Shri Ram School,MERN Stack Basics - Batch 6,2024-01-12,2025-03-02,1917,62,93,20,56.0,Builder,5,Free,LKSA1770,43.8,30.9,49.1,35.0,33.5,43.3,Javascript,React,3.0,0.0,5.0,4.0,7.0,5.0,5.0,6.0,6.0,4.0,7.0,4.0,6.0,7.0,4.0,7.0,6.0,7.0,46.0,102.0,163.0,228.0,297.0,376.0,456.0,541.0,642.0,747.0,857.0,969.0,1095.0,1235.0,1380.0,1540.0,1722.0,1917.0,8.6,8.0,13.3,106.0,0.32,415,3,39.27,49.31,High Risk,93.0,24.0,5.167,1871.0,682.0,47.91,20.61,82.85,2633.0,JavaScript,Revise quiz topics daily. | Focus on JavaScript to boost topic scores.
LK0019,Nikhil Iyer,nikhil.iyer22@gmail.com,9367808389,11,7th,Kolkata,Bal Bharati Public School,MERN Stack Basics - Batch 7,2024-09-25,2025-04-26,629,30,44,27,51.5,Explorer,9,Free,LKNI8041,43.9,86.6,43.0,30.4,53.8,47.9,Nodejs,Javascript,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,7.0,5.0,4.0,4.0,7.0,4.0,3.0,16.0,33.0,53.0,73.0,96.0,122.0,148.0,179.0,211.0,246.0,282.0,318.0,354.0,394.0,436.0,495.0,562.0,629.0,7.8,11.0,5.7,46.0,0.9,213,1,50.93,51.27,High Risk,44.0,18.0,2.444,613.0,235.0,30.29,14.3,54.66,886.33,Node.js,Revise quiz topics daily. | Focus on Node.js to boost topic scores.
